순위,업소명,주소,분류,합산 검색 수,정보
44,쿠우쿠우상봉점,서울 중랑구 망우로 316-0,전문음식,24949,"https://map.naver.com/v5/search/%EC%BF%A0%EC%9A%B0%EC%BF%A0%EC%9A%B0%EC%83%81%EB%B4%89%EC%A0%90/place/563583704?c=14146837.5747936,4522593.2271041,14,0,0,0,dh&isCorrectAnswer=true"
45,스타벅스방화DT점,서울 강서구 방화대로 375-0,카페/찻집,24917,"https://map.naver.com/v5/search/%EC%8A%A4%ED%83%80%EB%B2%85%EC%8A%A4%EB%B0%A9%ED%99%94DT%EC%A0%90/place/1967951981?c=14116905.8479575,4519467.4795624,14,0,0,0,dh&placePath=%3Fentry%253Dbmp"
46,맥도날드등촌DT점,서울 강서구 양천로 546-0,간이음식,24764,"https://map.naver.com/v5/search/%EB%A7%A5%EB%8F%84%EB%82%A0%EB%93%9C%EB%93%B1%EC%B4%8CDT%EC%A0%90/place/34353283?c=14116905.8479575,4519467.4795624,14,0,0,0,dh&isCorrectAnswer=true"
47,강강술래역삼점 [한식],서울 강남구 논현로 325-0,한식,23953,"https://map.naver.com/v5/search/%EA%B0%95%EA%B0%95%EC%88%A0%EB%9E%98%EC%97%AD%EC%82%BC%EC%A0%90%20%5B%ED%95%9C%EC%8B%9D%5D/place/11589288?c=14141525.7760478,4508219.1822648,14,0,0,0,dh&isCorrectAnswer=true"
48,스타벅스강동구청DT점,서울 강동구 성내로 32-0,카페/찻집,23791,"https://map.naver.com/v5/search/%EC%8A%A4%ED%83%80%EB%B2%85%EC%8A%A4%EA%B0%95%EB%8F%99%EA%B5%AC%EC%B2%ADDT%EC%A0%90/place/1314969450?c=14151130.5244650,4513138.1138691,14,0,0,0,dh&placePath=%3Fentry%253Dbmp"
49,유림강서본점,서울 강서구 공항대로71길 5-0,전문음식,23621,"https://map.naver.com/v5/search/%EC%9C%A0%EB%A6%BC%EA%B0%95%EC%84%9C/place/19866704?c=14122837.0925785,4515750.6445633,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
50,스타벅스공릉DT점,서울 노원구 동일로 1015-0,카페/찻집,23439,"https://map.naver.com/v5/search/%EC%8A%A4%ED%83%80%EB%B2%85%EC%8A%A4%EA%B3%B5%EB%A6%89DT%EC%A0%90/place/1954026333?c=14144914.8896074,4525979.5165992,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
51,명동교자본점,서울 중구 명동10길 29-0,한식,23106,"https://map.naver.com/v5/search/%EB%AA%85%EB%8F%99%EA%B5%90%EC%9E%90%EB%B3%B8%EC%A0%90/place/11592650?c=14135506.6249458,4517807.6377725,15,0,0,0,dh&isCorrectAnswer=true"
52,아웃백스테이크하우스잠실점,서울 송파구 송파대로 466-0,전문음식,23067,"https://map.naver.com/v5/search/%EC%95%84%EC%9B%83%EB%B0%B1%EC%8A%A4%ED%85%8C%EC%9D%B4%ED%81%AC%ED%95%98%EC%9A%B0%EC%8A%A4%EC%9E%A0%EC%8B%A4%EC%A0%90/place/11849346?c=14148819.1062579,4510147.0140211,15,0,0,0,dh&isCorrectAnswer=true"
53,피자힐,서울 광진구 워커힐로 177-0,간이음식,23055,"https://map.naver.com/v5/search/%ED%94%BC%EC%9E%90%ED%9E%90/place/11611438?c=14149262.6142413,4516598.6842804,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
